epoch,elapsed_minutes,optimization_loss,train_loss,train_ppl,test_loss,test_ppl
1,1.5526,5.58961234,5.51356531,246.76035951,5.59308356,266.22666242
25,2.0509,4.55860363,4.53326932,93.01916263,4.51376556,91.21357972
50,2.5518,4.05339429,4.03674344,56.46270930,3.97325414,52.97348915
75,3.0280,3.67972696,3.66621416,38.75971719,3.57436650,35.47615515
100,3.5129,3.36260782,3.35054608,28.08032269,3.24160192,25.42845850
125,3.9893,3.05866700,3.04622842,20.74811420,2.94801555,18.99436546
150,4.4616,2.75375837,2.74218372,15.42300091,2.67625228,14.50538660
175,4.9438,2.48538014,2.47553571,11.84967587,2.43339149,11.38966325
200,5.4200,2.25718428,2.24877013,9.45709653,2.22076193,9.21142124
225,5.8993,2.06063936,2.05332253,7.78423801,2.03419765,7.64473800
250,6.3755,1.88801402,1.88151173,6.55898014,1.86815053,6.47561635
275,6.9220,1.73323833,1.72736665,5.62382883,1.71743013,5.56987887
300,7.4046,1.59374654,1.58849554,4.89540341,1.58022251,4.85591123
325,7.8511,1.47076017,1.46620986,4.33216863,1.45861105,4.29993747
350,8.2915,1.36540565,1.36153965,3.90166051,1.35441651,3.87446428
375,8.7346,1.27563344,1.27230958,3.56851416,1.26612686,3.54697109
400,9.1840,1.19722767,1.19426529,3.30052513,1.18964129,3.28561065
425,9.6465,1.12612812,1.12339775,3.07471204,1.12039361,3.06562678
450,10.1308,1.06010091,1.05755273,2.87881112,1.05622942,2.87497275
475,10.5836,0.99851546,0.99614355,2.70737860,0.99662106,2.70844577
500,11.0337,0.94101130,0.93878332,2.55647787,0.93979870,2.55880266
525,11.4824,0.88687355,0.88477435,2.42209120,0.88628728,2.42545003
550,11.9399,0.83586618,0.83388852,2.30194685,0.83589145,2.30622349
575,12.3944,0.78782128,0.78595901,2.19423791,0.78836153,2.19916096
600,12.8509,0.74259418,0.74084181,2.09745730,0.74358761,2.10286099
625,13.2989,0.70005297,0.69840541,2.01032570,0.70143179,2.01605478
650,13.7486,0.66007311,0.65852549,1.93174417,0.66177321,1.93766949
675,14.1960,0.62253435,0.62108190,1.86076072,0.62449752,1.86677866
700,14.6481,0.58731889,0.58595695,1.79654494,0.58949426,1.80257570
725,15.1028,0.55431052,0.55303446,1.73836853,0.55665459,1.74435247
750,15.5507,0.52339440,0.52219966,1.68559023,0.52586966,1.69148275
775,16.0022,0.49445749,0.49333961,1.63764406,0.49703089,1.64341105
800,16.4506,0.46738926,0.46634387,1.59402979,0.47003092,1.59964430
825,16.9022,0.44208241,0.44110529,1.55430501,0.44476489,1.55974506
850,17.3631,0.41843353,0.41752065,1.51807814,0.42113144,1.52332557
875,17.8148,0.39634346,0.39549092,1.48500217,0.39903346,1.49004223
900,18.2639,0.37571718,0.37492127,1.45476876,0.37837848,1.45959029
925,18.7138,0.35646342,0.35572056,1.42710261,0.35907842,1.43169877
950,19.1625,0.33849381,0.33780050,1.40175625,0.34104897,1.40612530
975,19.6109,0.32172209,0.32107494,1.37850549,0.32420843,1.38265115
1000,20.0587,0.30606412,0.30545981,1.35714653,0.30847681,1.36107708
1025,20.5077,0.29143889,0.29087426,1.33749498,0.29377592,1.34122113
1050,20.9568,0.27777022,0.27724236,1.31938582,0.28003070,1.32291835
1075,21.4216,0.26498792,0.26449413,1.30267270,0.26717103,1.30602119
1100,21.9248,0.25302779,0.25256564,1.28722625,0.25513248,1.29039884
1125,22.4134,0.24183109,0.24139832,1.27293169,0.24385619,1.27593545
1150,22.8940,0.23134382,0.23093837,1.25968678,0.23328822,1.26252798
1175,23.4236,0.22151622,0.22113617,1.24740002,0.22337894,1.25008440
1200,23.9165,0.21230232,0.21194592,1.23598935,0.21408253,1.23852218
1225,24.4114,0.20365972,0.20332533,1.22538100,0.20535671,1.22776713
1250,24.9025,0.19554922,0.19523534,1.21550856,0.19716240,1.21775244
1275,25.3906,0.18793462,0.18763987,1.20631212,0.18946349,1.20841784
1300,25.8556,0.18078249,0.18050558,1.19773754,0.18222661,1.19970889
1325,26.3141,0.17406191,0.17380165,1.18973587,0.17542094,1.19157631
1350,26.7716,0.16774428,0.16749957,1.18226268,0.16901794,1.18397545
1375,27.2291,0.16180313,0.16157297,1.17527765,0.16299123,1.17686576
1400,27.6829,0.15621395,0.15599738,1.16874409,0.15731637,1.17021035
1425,28.1381,0.15095399,0.15075014,1.16262855,0.15197069,1.16397560
1450,28.5884,0.14600215,0.14581020,1.15690048,0.14693317,1.15813085
1475,29.0422,0.14133882,0.14115802,1.15153194,0.14218429,1.15264803
1500,29.4947,0.13694575,0.13677541,1.14649733,0.13770589,1.14750144
1525,29.9460,0.13280598,0.13264543,1.14177315,0.13348105,1.14266747
