label,T,d,k,mean_O_ij,obar,obar_k_root,final_loss,n_qubits,reference_haar,reference_advantage,converged,training_phases,elapsed_seconds,wall_seconds,run_dir,resumed,series
T2_d16_k2,2,16,2,0.29913585347728355,0.29913585347728355,0.5466407758302729,2.4237390012849414,14,0.015625,0.125,False,"[{'k': 2, 'epochs_run': 300, 'final_loss': 2.4237390012849414, 'converged': False}]",1.8079674378968775,0.0,results/study/definitive_complexity_T32_modeboth/T2_d16_k2,True,T
T4_d16_k2,4,16,2,0.050804596820363715,0.050804596820363715,0.2244497012550472,6.80937388405627,16,0.015625,0.125,False,"[{'k': 2, 'epochs_run': 2000, 'final_loss': 6.80937388405627, 'converged': False}]",3.037177104037255,10.300054204068147,results/study/definitive_complexity_T32_modeboth/T4_d16_k2,,T
T8_d16_k2,8,16,2,0.28686858318181185,0.28686858318181185,0.5354885159186437,2.4998896509539494,18,0.015625,0.125,True,"[{'k': 2, 'epochs_run': 1973, 'final_loss': 2.4998896509539494, 'converged': True}]",3.6211448799585924,10.737589895026758,results/study/definitive_complexity_T32_modeboth/T8_d16_k2,,T
T16_d16_k2,16,16,2,0.19382848395539243,0.19382848395539243,0.4402285379528319,3.2828704394554764,20,0.015625,0.125,False,"[{'k': 2, 'epochs_run': 2000, 'final_loss': 3.2828704394554764, 'converged': False}]",4.566852501011454,11.608787536039017,results/study/definitive_complexity_T32_modeboth/T16_d16_k2,,T
T32_d16_k2,32,16,2,0.14541415967952342,0.14541415967952342,0.3813102229649944,3.857893706258639,22,0.015625,0.125,False,"[{'k': 2, 'epochs_run': 2000, 'final_loss': 3.857893706258639, 'converged': False}]",8.269016331993043,15.206035166978836,results/study/definitive_complexity_T32_modeboth/T32_d16_k2,,T
T2_d16_k3,2,16,3,0.2928692346814554,0.2928692346814554,0.6609212850893522,2.4997508786180953,18,0.00390625,0.06629126073623882,True,"[{'k': 3, 'epochs_run': 891, 'final_loss': 2.4997508786180953, 'converged': True}]",2.2771297700237483,9.340988444979303,results/study/definitive_complexity_T32_modeboth/T2_d16_k3,,T_k3
T4_d16_k3,4,16,3,0.04968028569726343,0.04968028569726343,0.36550084759028945,6.681107325441484,20,0.00390625,0.06629126073623882,False,"[{'k': 3, 'epochs_run': 2000, 'final_loss': 6.681107325441484, 'converged': False}]",3.2622832749038935,10.474768868996762,results/study/definitive_complexity_T32_modeboth/T4_d16_k3,,T_k3
T8_d16_k3,8,16,3,0.268461676756432,0.268461676756432,0.6449196796335903,2.633626134320081,22,0.00390625,0.06629126073623882,False,"[{'k': 3, 'epochs_run': 2000, 'final_loss': 2.633626134320081, 'converged': False}]",3.63610292004887,10.777944421977736,results/study/definitive_complexity_T32_modeboth/T8_d16_k3,,T_k3
T16_d16_k3,16,16,3,0.1493069890278506,0.1493069890278506,0.530472494084257,3.804815888304474,24,0.00390625,0.06629126073623882,False,"[{'k': 3, 'epochs_run': 2000, 'final_loss': 3.804815888304474, 'converged': False}]",4.345733431982808,11.371027283021249,results/study/definitive_complexity_T32_modeboth/T16_d16_k3,,T_k3
T32_d16_k3,32,16,3,0.11443657107898832,0.11443657107898832,0.48547500028382684,4.337173250906891,26,0.00390625,0.06629126073623882,False,"[{'k': 3, 'epochs_run': 2000, 'final_loss': 4.337173250906891, 'converged': False}]",8.634657507995144,15.611972591024823,results/study/definitive_complexity_T32_modeboth/T32_d16_k3,,T_k3
