label,T,d,k,mean_O_ij,obar,obar_k_root,final_loss,n_qubits,reference_haar,reference_advantage,converged,training_phases,elapsed_seconds,wall_seconds,run_dir,resumed,series
T2_d16_k2,2,16,2,0.29913585347728355,0.29913585347728355,0.5466407758302729,2.4237390012849414,14,0.015625,0.125,False,"[{'k': 2, 'epochs_run': 300, 'final_loss': 2.4237390012849414, 'converged': False}]",1.8079674378968775,0.0,results/study/definitive_complexity_T32_modeboth/T2_d16_k2,True,T
T4_d16_k2,4,16,2,0.050804596820363715,0.050804596820363715,0.2244497012550472,6.80937388405627,16,0.015625,0.125,False,"[{'k': 2, 'epochs_run': 2000, 'final_loss': 6.80937388405627, 'converged': False}]",3.037177104037255,10.300054204068147,results/study/definitive_complexity_T32_modeboth/T4_d16_k2,,T
T8_d16_k2,8,16,2,0.28686858318181185,0.28686858318181185,0.5354885159186437,2.4998896509539494,18,0.015625,0.125,True,"[{'k': 2, 'epochs_run': 1973, 'final_loss': 2.4998896509539494, 'converged': True}]",3.6211448799585924,10.737589895026758,results/study/definitive_complexity_T32_modeboth/T8_d16_k2,,T
T16_d16_k2,16,16,2,0.19382848395539243,0.19382848395539243,0.4402285379528319,3.2828704394554764,20,0.015625,0.125,False,"[{'k': 2, 'epochs_run': 2000, 'final_loss': 3.2828704394554764, 'converged': False}]",4.566852501011454,11.608787536039017,results/study/definitive_complexity_T32_modeboth/T16_d16_k2,,T
T32_d16_k2,32,16,2,0.14541415967952342,0.14541415967952342,0.3813102229649944,3.857893706258639,22,0.015625,0.125,False,"[{'k': 2, 'epochs_run': 2000, 'final_loss': 3.857893706258639, 'converged': False}]",8.269016331993043,15.206035166978836,results/study/definitive_complexity_T32_modeboth/T32_d16_k2,,T
T2_d4_k2,2,4,2,0.2905656086562335,0.2905656086562335,0.538169750056249,2.492514859815839,8,0.125,0.5,True,"[{'k': 2, 'epochs_run': 2, 'final_loss': 2.492514859815839, 'converged': True}]",1.2497551599517465,8.305651519447565,results/study/definitive_complexity_T32_modeboth/T2_d4_k2,,T_by_d
T4_d4_k2,4,4,2,0.2925562568747036,0.2925562568747036,0.5404869919305323,2.499717838574733,10,0.125,0.5,True,"[{'k': 2, 'epochs_run': 239, 'final_loss': 2.499717838574733, 'converged': True}]",1.3564974321052432,8.535515683703125,results/study/definitive_complexity_T32_modeboth/T4_d4_k2,,T_by_d
T8_d4_k2,8,4,2,0.28769934208328346,0.28769934208328346,0.5363444310527595,2.4998244628900874,12,0.125,0.5,True,"[{'k': 2, 'epochs_run': 797, 'final_loss': 2.4998244628900874, 'converged': True}]",1.5794518953189254,8.658597550354898,results/study/definitive_complexity_T32_modeboth/T8_d4_k2,,T_by_d
T16_d4_k2,16,4,2,0.28765035438522213,0.28765035438522213,0.536314739631814,2.4993692828062968,14,0.125,0.5,True,"[{'k': 2, 'epochs_run': 1218, 'final_loss': 2.4993692828062968, 'converged': True}]",2.0853050155565143,9.375482900999486,results/study/definitive_complexity_T32_modeboth/T16_d4_k2,,T_by_d
T2_d8_k2,2,8,2,0.29270811343449976,0.29270811343449976,0.538627600835526,2.49754393716443,11,0.04419417382415922,0.25,True,"[{'k': 2, 'epochs_run': 335, 'final_loss': 2.49754393716443, 'converged': True}]",1.4887193776667118,8.543825256638229,results/study/definitive_complexity_T32_modeboth/T2_d8_k2,,T_by_d
T4_d8_k2,4,8,2,0.2893508735512217,0.2893508735512217,0.5366565232793564,2.499540677916519,13,0.04419417382415922,0.25,True,"[{'k': 2, 'epochs_run': 1314, 'final_loss': 2.499540677916519, 'converged': True}]",1.8018243229016662,8.949357028119266,results/study/definitive_complexity_T32_modeboth/T4_d8_k2,,T_by_d
T8_d8_k2,8,8,2,0.2870933526133419,0.2870933526133419,0.535660599692497,2.499131059088872,15,0.04419417382415922,0.25,True,"[{'k': 2, 'epochs_run': 1146, 'final_loss': 2.499131059088872, 'converged': True}]",2.0386459166184068,9.06683717109263,results/study/definitive_complexity_T32_modeboth/T8_d8_k2,,T_by_d
T16_d8_k2,16,8,2,0.2672328170239454,0.2672328170239454,0.5167629005132142,2.6423690173823493,17,0.04419417382415922,0.25,False,"[{'k': 2, 'epochs_run': 2000, 'final_loss': 2.6423690173823493, 'converged': False}]",2.7870030347257853,10.006174421869218,results/study/definitive_complexity_T32_modeboth/T16_d8_k2,,T_by_d
