label,T,d,k,mean_O_ij,obar,obar_k_root,final_loss,n_qubits,reference_haar,reference_advantage,converged,training_phases,elapsed_seconds,wall_seconds,run_dir,series
T32_d2_k2,32,2,2,0.3973411665950837,0.3973411665950837,0.6303494789581174,6.341602178568344,13,0.3535533905932738,1.0,False,"[{'k': 2, 'epochs_run': 2000, 'final_loss': 6.341602178568344, 'converged': False}]",4.301506489049643,11.260596161941066,results/study/definitive_complexity_T32_modeboth/T32_d2_k2,d
T32_d4_k2,32,4,2,0.293565864849051,0.293565864849051,0.5417396031934559,2.4594705212145493,16,0.125,0.5,False,"[{'k': 2, 'epochs_run': 300, 'final_loss': 2.4594705212145493, 'converged': False}]",1.7530140611343086,0.0,results/study/definitive_complexity_T32_modeboth/T32_d4_k2,d
T32_d8_k2,32,8,2,0.2690469656890364,0.2690469656890364,0.5186710107824763,2.626296468623193,19,0.04419417382415922,0.25,False,"[{'k': 2, 'epochs_run': 2000, 'final_loss': 2.626296468623193, 'converged': False}]",5.395921922987327,12.423489865963347,results/study/definitive_complexity_T32_modeboth/T32_d8_k2,d
T32_d16_k2,32,16,2,0.14633342667483423,0.14633342667483423,0.38251622562337884,3.8452416615934695,22,0.015625,0.125,False,"[{'k': 2, 'epochs_run': 2000, 'final_loss': 3.8452416615934695, 'converged': False}]",8.3281090259552,15.349526791018434,results/study/definitive_complexity_T32_modeboth/T32_d16_k2,d
T32_d32_k2,32,32,2,0.16396290014675446,0.16396290014675446,0.40491518377895375,3.616953786422286,25,0.005524271728019903,0.0625,False,"[{'k': 2, 'epochs_run': 2000, 'final_loss': 3.616953786422286, 'converged': False}]",14.192890824982896,21.27311269904021,results/study/definitive_complexity_T32_modeboth/T32_d32_k2,d
T32_d2_k3,32,2,3,0.33829480894923436,0.33829480894923436,0.696783730447667,2.1733339150220816,14,0.25,1.5,False,"[{'k': 3, 'epochs_run': 300, 'final_loss': 2.1733339150220816, 'converged': False}]",1.7902445420622826,0.0,results/study/definitive_complexity_T32_modeboth/T32_d2_k3,d_extra
T32_d4_k3,32,4,3,0.2767483581900967,0.2767483581900967,0.6516660690724863,2.5696567705377245,18,0.0625,0.5303300858899106,False,"[{'k': 3, 'epochs_run': 2000, 'final_loss': 2.5696567705377245, 'converged': False}]",4.020979562774301,11.345179746858776,results/study/definitive_complexity_T32_modeboth/T32_d4_k3,d_extra
T32_d8_k3,32,8,3,0.20004685840181757,0.20004685840181757,0.5848100902821329,3.2191436366984947,22,0.015625,0.1875,False,"[{'k': 3, 'epochs_run': 2000, 'final_loss': 3.2191436366984947, 'converged': False}]",5.039226754568517,12.290763180702925,results/study/definitive_complexity_T32_modeboth/T32_d8_k3,d_extra
T32_d16_k3,32,16,3,0.11103640256838415,0.11103640256838415,0.4806158985544184,4.39758154742671,26,0.00390625,0.06629126073623882,False,"[{'k': 3, 'epochs_run': 2000, 'final_loss': 4.39758154742671, 'converged': False}]",7.554282841272652,14.674887235276401,results/study/definitive_complexity_T32_modeboth/T32_d16_k3,d_extra
T32_d32_k3,32,32,3,0.10834996183400535,0.10834996183400535,0.47670151799796745,4.445971336365746,30,0.0009765625,0.0234375,False,"[{'k': 3, 'epochs_run': 2000, 'final_loss': 4.445971336365746, 'converged': False}]",14.253704532980919,21.330296082422137,results/study/definitive_complexity_T32_modeboth/T32_d32_k3,d_extra
