label,T,d,k,obar,haar,advantage,obar_over_haar,final_loss,above_haar,above_advantage
T2_d16_k2,2,16,2,0.299136,0.015625,0.125,19.1447,2.4237,yes,yes
T4_d16_k2,4,16,2,0.200828,0.015625,0.125,12.8530,3.2256,yes,yes
T8_d16_k2,8,16,2,0.170267,0.015625,0.125,10.8971,3.5518,yes,yes
T16_d16_k2,16,16,2,0.094199,0.015625,0.125,6.0287,4.7381,yes,no
T32_d16_k2,32,16,2,0.092227,0.015625,0.125,5.9025,4.7784,yes,no
T2_d16_k3,2,16,3,0.281290,0.00390625,0.06629126,72.0100,2.5492,yes,yes
T4_d16_k3,4,16,3,0.163230,0.00390625,0.06629126,41.7860,3.6451,yes,yes
T8_d16_k3,8,16,3,0.126816,0.00390625,0.06629126,32.4650,4.1470,yes,yes
T16_d16_k3,16,16,3,0.069428,0.00390625,0.06629126,17.7730,5.3550,yes,yes
T32_d16_k3,32,16,3,0.068032,0.00390625,0.06629126,17.4160,5.3871,yes,yes
T32_d2_k2,32,2,2,0.398930,0.3535534,1.0,1.1283,2.9346,yes,no
T32_d4_k2,32,4,2,0.293566,0.125,0.5,2.3485,2.4595,yes,no
T32_d8_k2,32,8,2,0.266611,0.04419417,0.25,6.0327,2.6477,yes,yes
T32_d16_k2,32,16,2,0.092227,0.015625,0.125,5.9025,4.7784,yes,no
T32_d32_k2,32,32,2,0.019911,0.005524272,0.0625,3.6043,7.8448,yes,no
T32_d2_k3,32,2,3,0.338295,0.25,1.5,1.3532,2.1733,yes,no
T32_d4_k3,32,4,3,0.238125,0.0625,0.5303301,3.8100,2.8780,yes,no
T32_d8_k3,32,8,3,0.205606,0.015625,0.1875,13.1588,3.1685,yes,yes
T32_d16_k3,32,16,3,0.068032,0.00390625,0.06629126,17.4160,5.3871,yes,yes
T32_d32_k3,32,32,3,0.012418,0.0009765625,0.0234375,12.7157,8.7900,yes,no
