label,T,d,k,mean_O_ij,obar,obar_k_root,final_loss,n_qubits,reference_haar,reference_advantage,converged,training_phases,elapsed_seconds,wall_seconds,run_dir,series
T2_d16_k2,2,16,2,0.1590035988029124,0.1590035988029124,0.3969151610150245,2.9978298472683074,16,0.015625,0.125,True,"[{'k': 2, 'epochs_run': 369, 'final_loss': 2.9978298472683074, 'converged': True}]",2.003228036686778,11.400049041956663,results/study/definitive_complexity_poly_T32_modeboth/T2_d16_k2,T
T4_d16_k2,4,16,2,0.15969572619671046,0.15969572619671046,0.3992986495985213,2.998087711495514,18,0.015625,0.125,True,"[{'k': 2, 'epochs_run': 592, 'final_loss': 2.998087711495514, 'converged': True}]",2.2826377423480153,11.625279758125544,results/study/definitive_complexity_poly_T32_modeboth/T4_d16_k2,T
T8_d16_k2,8,16,2,0.11726970024381556,0.11726970024381556,0.34232938927013606,3.349705930769761,20,0.015625,0.125,False,"[{'k': 2, 'epochs_run': 800, 'final_loss': 3.349705930769761, 'converged': False}]",2.63440116122365,12.023355754092336,results/study/definitive_complexity_poly_T32_modeboth/T8_d16_k2,T
T16_d16_k2,16,16,2,0.052711245017033725,0.052711245017033725,0.22950837516193479,4.55224961918058,22,0.015625,0.125,False,"[{'k': 2, 'epochs_run': 800, 'final_loss': 4.55224961918058, 'converged': False}]",3.1473174039274454,12.48495754506439,results/study/definitive_complexity_poly_T32_modeboth/T16_d16_k2,T
T32_d16_k2,32,16,2,0.03934122734142188,0.03934122734142188,0.1983017306429451,4.887282235548948,24,0.015625,0.125,False,"[{'k': 2, 'epochs_run': 800, 'final_loss': 4.887282235548948, 'converged': False}]",4.480981441214681,13.942358084022999,results/study/definitive_complexity_poly_T32_modeboth/T32_d16_k2,T
T2_d16_k3,2,16,3,0.14677944834265652,0.14677944834265652,0.5246656694608607,2.998717971002643,21,0.00390625,0.06629126073623882,True,"[{'k': 3, 'epochs_run': 491, 'final_loss': 2.998717971002643, 'converged': True}]",2.0129411974921823,11.43503128644079,results/study/definitive_complexity_poly_T32_modeboth/T2_d16_k3,T_k3
T4_d16_k3,4,16,3,0.14190547207441212,0.14190547207441212,0.521141675386455,3.016037865917109,23,0.00390625,0.06629126073623882,False,"[{'k': 3, 'epochs_run': 800, 'final_loss': 3.016037865917109, 'converged': False}]",2.430216792039573,11.821386161260307,results/study/definitive_complexity_poly_T32_modeboth/T4_d16_k3,T_k3
T8_d16_k3,8,16,3,0.07191691064152898,0.07191691064152898,0.41556707258268744,3.871935676491943,25,0.00390625,0.06629126073623882,False,"[{'k': 3, 'epochs_run': 800, 'final_loss': 3.871935676491943, 'converged': False}]",2.590324438177049,11.907691674306989,results/study/definitive_complexity_poly_T32_modeboth/T8_d16_k3,T_k3
T16_d16_k3,16,16,3,0.028429584741434723,0.028429584741434723,0.30506091995149764,5.208520455012371,27,0.00390625,0.06629126073623882,False,"[{'k': 3, 'epochs_run': 800, 'final_loss': 5.208520455012371, 'converged': False}]",2.8283569123595953,12.315853436477482,results/study/definitive_complexity_poly_T32_modeboth/T16_d16_k3,T_k3
T32_d16_k3,32,16,3,0.024449921215047972,0.024449921215047972,0.290183115689047,5.380395404094305,29,0.00390625,0.06629126073623882,False,"[{'k': 3, 'epochs_run': 800, 'final_loss': 5.380395404094305, 'converged': False}]",4.655235962942243,14.068040257319808,results/study/definitive_complexity_poly_T32_modeboth/T32_d16_k3,T_k3
