label,T,d,k,mean_O_ij,obar,obar_k_root,final_loss,n_qubits,reference_haar,reference_advantage,converged,training_phases,elapsed_seconds,wall_seconds,run_dir,series
T2_d16_k2,2,16,2,0.1590035988029124,0.1590035988029124,0.3969151610150245,2.9978298472683074,16,0.015625,0.125,True,"[{'k': 2, 'epochs_run': 369, 'final_loss': 2.9978298472683074, 'converged': True}]",2.003228036686778,11.400049041956663,results/study/definitive_complexity_poly_T32_modeboth/T2_d16_k2,T
T4_d16_k2,4,16,2,0.15969572619671046,0.15969572619671046,0.3992986495985213,2.998087711495514,18,0.015625,0.125,True,"[{'k': 2, 'epochs_run': 592, 'final_loss': 2.998087711495514, 'converged': True}]",2.2826377423480153,11.625279758125544,results/study/definitive_complexity_poly_T32_modeboth/T4_d16_k2,T
T8_d16_k2,8,16,2,0.11726970024381556,0.11726970024381556,0.34232938927013606,3.349705930769761,20,0.015625,0.125,False,"[{'k': 2, 'epochs_run': 800, 'final_loss': 3.349705930769761, 'converged': False}]",2.63440116122365,12.023355754092336,results/study/definitive_complexity_poly_T32_modeboth/T8_d16_k2,T
T16_d16_k2,16,16,2,0.052711245017033725,0.052711245017033725,0.22950837516193479,4.55224961918058,22,0.015625,0.125,False,"[{'k': 2, 'epochs_run': 800, 'final_loss': 4.55224961918058, 'converged': False}]",3.1473174039274454,12.48495754506439,results/study/definitive_complexity_poly_T32_modeboth/T16_d16_k2,T
T32_d16_k2,32,16,2,0.03934122734142188,0.03934122734142188,0.1983017306429451,4.887282235548948,24,0.015625,0.125,False,"[{'k': 2, 'epochs_run': 800, 'final_loss': 4.887282235548948, 'converged': False}]",4.480981441214681,13.942358084022999,results/study/definitive_complexity_poly_T32_modeboth/T32_d16_k2,T
T2_d4_k2,2,4,2,0.28639076128847124,0.28639076128847124,0.5339551339960916,1.9107761638262895,10,0.125,0.5,True,"[{'k': 2, 'epochs_run': 1, 'final_loss': 1.9107761638262895, 'converged': True}]",1.3285569325089455,0.0,results/study/definitive_complexity_poly_T32_modeboth/T2_d4_k2,T_by_d
T4_d4_k2,4,4,2,0.1834034449205672,0.1834034449205672,0.4281191133480958,2.999889941903647,12,0.125,0.5,True,"[{'k': 2, 'epochs_run': 67, 'final_loss': 2.999889941903647, 'converged': True}]",1.241788323968649,0.0,results/study/definitive_complexity_poly_T32_modeboth/T4_d4_k2,T_by_d
T8_d4_k2,8,4,2,0.1593978676280331,0.1593978676280331,0.39921816990599024,2.9995909984198255,14,0.125,0.5,True,"[{'k': 2, 'epochs_run': 192, 'final_loss': 2.9995909984198255, 'converged': True}]",1.3450747625902295,0.0,results/study/definitive_complexity_poly_T32_modeboth/T8_d4_k2,T_by_d
T16_d4_k2,16,4,2,0.16927741262414467,0.16927741262414467,0.41141911739263626,2.9984486286867416,16,0.125,0.5,True,"[{'k': 2, 'epochs_run': 300, 'final_loss': 2.9984486286867416, 'converged': True}]",1.4430384254083037,0.0,results/study/definitive_complexity_poly_T32_modeboth/T16_d4_k2,T_by_d
T2_d8_k2,2,8,2,0.11942152020392388,0.11942152020392388,0.34344888782219196,2.999456258593371,13,0.04419417382415922,0.25,True,"[{'k': 2, 'epochs_run': 217, 'final_loss': 2.999456258593371, 'converged': True}]",1.6605525175109506,0.0,results/study/definitive_complexity_poly_T32_modeboth/T2_d8_k2,T_by_d
T4_d8_k2,4,8,2,0.13306550594882643,0.13306550594882643,0.3640760652996338,2.9992018841914803,15,0.04419417382415922,0.25,True,"[{'k': 2, 'epochs_run': 405, 'final_loss': 2.9992018841914803, 'converged': True}]",1.5851107200141996,10.946524173021317,results/study/definitive_complexity_poly_T32_modeboth/T4_d8_k2,T_by_d
T8_d8_k2,8,8,2,0.13483581595466637,0.13483581595466637,0.3669481024952952,2.9985932752496507,17,0.04419417382415922,0.25,True,"[{'k': 2, 'epochs_run': 623, 'final_loss': 2.9985932752496507, 'converged': True}]",1.8275175740709528,11.27361914201174,results/study/definitive_complexity_poly_T32_modeboth/T8_d8_k2,T_by_d
T16_d8_k2,16,8,2,0.13469231492931522,0.13469231492931522,0.3669133324594489,2.999243622069965,19,0.04419417382415922,0.25,True,"[{'k': 2, 'epochs_run': 608, 'final_loss': 2.999243622069965, 'converged': True}]",1.9703330879565328,11.313633449957706,results/study/definitive_complexity_poly_T32_modeboth/T16_d8_k2,T_by_d
