label,T,d,k,mean_O_ij,obar,obar_k_root,final_loss,n_qubits,reference_haar,reference_advantage,converged,training_phases,elapsed_seconds,wall_seconds,run_dir,series
T32_d2_k2,32,2,2,0.4104105376368223,0.4104105376368223,0.6406328636987841,3.271869341051276,15,0.3535533905932738,1.0,False,"[{'k': 2, 'epochs_run': 800, 'final_loss': 3.271869341051276, 'converged': False}]",2.3802535263821483,11.77904865052551,results/study/definitive_complexity_poly_T32_modeboth/T32_d2_k2,d
T32_d4_k2,32,4,2,0.16048893494420857,0.16048893494420857,0.40060352283897693,2.999490272256951,18,0.125,0.5,True,"[{'k': 2, 'epochs_run': 293, 'final_loss': 2.999490272256951, 'converged': True}]",1.6503286268562078,11.17958813905716,results/study/definitive_complexity_poly_T32_modeboth/T32_d4_k2,d
T32_d8_k2,32,8,2,0.12656476413869222,0.12656476413869222,0.35574444616810397,2.999310024036273,21,0.04419417382415922,0.25,True,"[{'k': 2, 'epochs_run': 507, 'final_loss': 2.999310024036273, 'converged': True}]",2.646968128159642,12.202473525889218,results/study/definitive_complexity_poly_T32_modeboth/T32_d8_k2,d
T32_d16_k2,32,16,2,0.03981561458911057,0.03981561458911057,0.1995060451341074,4.871252786302087,24,0.015625,0.125,False,"[{'k': 2, 'epochs_run': 800, 'final_loss': 4.871252786302087, 'converged': False}]",4.62746715079993,14.045870746485889,results/study/definitive_complexity_poly_T32_modeboth/T32_d16_k2,d
T32_d32_k2,32,32,2,0.03747008170860577,0.03747008170860577,0.19355966925133555,5.358504336041085,27,0.005524271728019903,0.0625,False,"[{'k': 2, 'epochs_run': 800, 'final_loss': 5.358504336041085, 'converged': False}]",7.047100406140089,16.403795579448342,results/study/definitive_complexity_poly_T32_modeboth/T32_d32_k2,d
T32_d2_k3,32,2,3,0.3598923153171494,0.3598923153171494,0.7113076717267128,3.0831955300552614,17,0.25,1.5,False,"[{'k': 3, 'epochs_run': 800, 'final_loss': 3.0831955300552614, 'converged': False}]",2.1833614856004715,11.66263232473284,results/study/definitive_complexity_poly_T32_modeboth/T32_d2_k3,d_extra
T32_d4_k3,32,4,3,0.1329920312898415,0.1329920312898415,0.5104294920136027,2.999299897585533,21,0.0625,0.5303300858899106,True,"[{'k': 3, 'epochs_run': 519, 'final_loss': 2.999299897585533, 'converged': True}]",1.739844130934216,11.247336965985596,results/study/definitive_complexity_poly_T32_modeboth/T32_d4_k3,d_extra
T32_d8_k3,32,8,3,0.10818054317440232,0.10818054317440232,0.47645686687736194,3.0515048500831172,25,0.015625,0.1875,False,"[{'k': 3, 'epochs_run': 800, 'final_loss': 3.0515048500831172, 'converged': False}]",2.95466813899111,12.408727589063346,results/study/definitive_complexity_poly_T32_modeboth/T32_d8_k3,d_extra
T32_d16_k3,32,16,3,0.0243939709653075,0.0243939709653075,0.2899539173317098,5.387137587281208,29,0.00390625,0.06629126073623882,False,"[{'k': 3, 'epochs_run': 800, 'final_loss': 5.387137587281208, 'converged': False}]",4.1033055579755455,13.584919570945203,results/study/definitive_complexity_poly_T32_modeboth/T32_d16_k3,d_extra
T32_d32_k3,32,32,3,0.01993332702525865,0.01993332702525865,0.27111435843411413,6.161561470924382,33,0.0009765625,0.0234375,False,"[{'k': 3, 'epochs_run': 800, 'final_loss': 6.161561470924382, 'converged': False}]",6.9523823579074815,16.39566849602852,results/study/definitive_complexity_poly_T32_modeboth/T32_d32_k3,d_extra
